Opened Date,Days Since Start Date,Day of Week,# of Cases
2018-06-13,2353,2,94
2018-06-14,2354,3,120
2018-06-15,2355,4,94
2018-06-18,2358,0,116
2018-06-19,2359,1,118
2018-06-20,2360,2,135
2018-06-21,2361,3,105
2018-06-22,2362,4,97
2018-06-25,2365,0,97
2018-06-26,2366,1,122
2018-06-27,2367,2,80
2018-06-28,2368,3,93
2018-06-29,2369,4,99
2018-07-02,2372,0,94
2018-07-03,2373,1,72
2018-07-04,2374,2,3
2018-07-05,2375,3,75
2018-07-06,2376,4,61
2018-07-09,2379,0,115
2018-07-10,2380,1,108
2018-07-11,2381,2,91
2018-07-12,2382,3,92
2018-07-13,2383,4,89
2018-07-16,2386,0,106
2018-07-17,2387,1,85
2018-07-18,2388,2,96
2018-07-19,2389,3,122
2018-07-20,2390,4,102
2018-07-23,2393,0,87
2018-07-24,2394,1,77
2018-07-25,2395,2,109
2018-07-26,2396,3,97
2018-07-27,2397,4,115
2018-07-30,2400,0,123
2018-07-31,2401,1,136
2018-08-01,2402,2,113
2018-08-02,2403,3,135
2018-08-03,2404,4,88
2018-08-06,2407,0,104
2018-08-07,2408,1,118
2018-08-08,2409,2,93
2018-08-09,2410,3,104
2018-08-10,2411,4,93
2018-08-13,2414,0,101
2018-08-14,2415,1,105
2018-08-15,2416,2,112
2018-08-16,2417,3,112
2018-08-17,2418,4,86
2018-08-20,2421,0,124
2018-08-21,2422,1,115
2018-08-22,2423,2,92
2018-08-23,2424,3,137
2018-08-24,2425,4,108
2018-08-27,2428,0,148
2018-08-28,2429,1,96
2018-08-29,2430,2,107
2018-08-30,2431,3,132
2018-08-31,2432,4,120
2018-09-03,2435,0,4
2018-09-04,2436,1,128
2018-09-05,2437,2,110
2018-09-06,2438,3,140
2018-09-07,2439,4,104
2018-09-10,2442,0,130
2018-09-11,2443,1,107
2018-09-12,2444,2,123
2018-09-13,2445,3,122
2018-09-14,2446,4,110
2018-09-17,2449,0,142
2018-09-18,2450,1,129
2018-09-19,2451,2,113
2018-09-20,2452,3,109
2018-09-21,2453,4,114
2018-09-24,2456,0,120
2018-09-25,2457,1,111
2018-09-26,2458,2,119
2018-09-27,2459,3,118
2018-09-28,2460,4,109
2018-10-01,2463,0,138
2018-10-02,2464,1,89
2018-10-03,2465,2,119
2018-10-04,2466,3,119
2018-10-05,2467,4,105
2018-10-08,2470,0,95
2018-10-09,2471,1,113
2018-10-10,2472,2,132
2018-10-11,2473,3,122
2018-10-12,2474,4,100
2018-10-15,2477,0,112
2018-10-16,2478,1,125
2018-10-17,2479,2,110
2018-10-18,2480,3,112
2018-10-19,2481,4,115
2018-10-22,2484,0,119
2018-10-23,2485,1,121
2018-10-24,2486,2,110
2018-10-25,2487,3,96
2018-10-26,2488,4,106
2018-10-29,2491,0,105
2018-10-30,2492,1,102
2018-10-31,2493,2,130
2018-11-01,2494,3,146
2018-11-02,2495,4,110
2018-11-05,2498,0,126
2018-11-06,2499,1,130
2018-11-07,2500,2,109
2018-11-08,2501,3,121
2018-11-09,2502,4,95
2018-11-12,2505,0,123
2018-11-13,2506,1,134
2018-11-14,2507,2,121
2018-11-15,2508,3,101
2018-11-16,2509,4,112
2018-11-19,2512,0,144
2018-11-20,2513,1,113
2018-11-21,2514,2,103
2018-11-22,2515,3,3
2018-11-23,2516,4,9
2018-11-26,2519,0,113
2018-11-27,2520,1,115
2018-11-28,2521,2,105
2018-11-29,2522,3,117
2018-11-30,2523,4,99
2018-12-03,2526,0,120
2018-12-04,2527,1,99
2018-12-05,2528,2,108
2018-12-06,2529,3,114
2018-12-07,2530,4,105
2018-12-10,2533,0,131
2018-12-11,2534,1,100
2018-12-12,2535,2,120
2018-12-13,2536,3,125
2018-12-14,2537,4,114
2018-12-17,2540,0,134
2018-12-18,2541,1,132
2018-12-19,2542,2,136
2018-12-20,2543,3,112
2018-12-21,2544,4,97
2018-12-24,2547,0,32
2018-12-25,2548,1,2
2018-12-26,2549,2,83
2018-12-27,2550,3,95
2018-12-28,2551,4,100
2018-12-31,2554,0,85
2019-01-01,2555,1,2
2019-01-02,2556,2,176
2019-01-03,2557,3,147
2019-01-04,2558,4,159
2019-01-07,2561,0,140
2019-01-08,2562,1,130
2019-01-09,2563,2,129
2019-01-10,2564,3,144
2019-01-11,2565,4,120
2019-01-14,2568,0,145
2019-01-15,2569,1,167
2019-01-16,2570,2,161
2019-01-17,2571,3,134
2019-01-18,2572,4,110
2019-01-21,2575,0,101
2019-01-22,2576,1,151
2019-01-23,2577,2,167
2019-01-24,2578,3,155
2019-01-25,2579,4,139
2019-01-28,2582,0,157
2019-01-29,2583,1,144
2019-01-30,2584,2,133
2019-01-31,2585,3,118
2019-02-01,2586,4,117
2019-02-04,2589,0,138
2019-02-05,2590,1,163
2019-02-06,2591,2,151
2019-02-07,2592,3,156
2019-02-08,2593,4,108
2019-02-11,2596,0,161
2019-02-12,2597,1,142
2019-02-13,2598,2,145
2019-02-14,2599,3,160
2019-02-15,2600,4,115
2019-02-18,2603,0,103
2019-02-19,2604,1,149
2019-02-20,2605,2,142
2019-02-21,2606,3,168
2019-02-22,2607,4,169
2019-02-25,2610,0,187
2019-02-26,2611,1,153
2019-02-27,2612,2,177
2019-02-28,2613,3,183
2019-03-01,2614,4,160
2019-03-04,2617,0,173
2019-03-05,2618,1,177
2019-03-06,2619,2,166
2019-03-07,2620,3,154
2019-03-08,2621,4,137
2019-03-11,2624,0,186
2019-03-12,2625,1,153
2019-03-13,2626,2,157
2019-03-14,2627,3,174
2019-03-15,2628,4,117
2019-03-18,2631,0,178
2019-03-19,2632,1,166
2019-03-20,2633,2,197
2019-03-21,2634,3,135
2019-03-22,2635,4,130
2019-03-25,2638,0,162
2019-03-26,2639,1,166
2019-03-27,2640,2,173
2019-03-28,2641,3,153
2019-03-29,2642,4,121
2019-04-01,2645,0,158
2019-04-02,2646,1,141
2019-04-03,2647,2,131
2019-04-04,2648,3,140
2019-04-05,2649,4,139
2019-04-08,2652,0,144
2019-04-09,2653,1,145
2019-04-10,2654,2,150
2019-04-11,2655,3,158
2019-04-12,2656,4,130
2019-04-15,2659,0,145
2019-04-16,2660,1,148
2019-04-17,2661,2,166
2019-04-18,2662,3,148
2019-04-19,2663,4,91
2019-04-22,2666,0,170
2019-04-23,2667,1,169
2019-04-24,2668,2,166
2019-04-25,2669,3,151
2019-04-26,2670,4,143
2019-04-29,2673,0,142
2019-04-30,2674,1,164
2019-05-01,2675,2,144
2019-05-02,2676,3,160
2019-05-03,2677,4,142
2019-05-06,2680,0,152
2019-05-07,2681,1,154
2019-05-08,2682,2,143
2019-05-09,2683,3,146
2019-05-10,2684,4,127
2019-05-13,2687,0,142
2019-05-14,2688,1,118
2019-05-15,2689,2,165
2019-05-16,2690,3,143
2019-05-17,2691,4,123
2019-05-20,2694,0,174
2019-05-21,2695,1,163
2019-05-22,2696,2,179
2019-05-23,2697,3,158
2019-05-24,2698,4,150
2019-05-27,2701,0,19
2019-05-28,2702,1,94
